식품명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),,,,,,,,,,,,,,,,,,,,,,,
허브차_허브티 아이스(ICED),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_허브티 핫(HOT),100ml,1,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 블렌드티 아이스(ICED) (L),100ml,1,,0.07,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 블렌드티 아이스(ICED) (Tall),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 블렌드티 핫(HOT) (L),100ml,1,,0.07,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_히비스커스 블렌드티 핫(HOT) (Tall),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_레몬밤,100ml,1,,0.04,,,,0,,,,,,0,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
허브차_레몬밤 민트티 아이스(ICED),100ml,35,,0.03,,,,7.92,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허브차_레몬밤 민트티 핫(HOT),100ml,44,,0.04,,,,9.89,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허브차_루이보스 아이스(ICED),100ml,0,,0,,,,0.21,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_루이보스 아이스(ICED),100ml,2,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_루이보스 핫(HOT),100ml,0,,0,,,,0.21,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_루이보스 핫(HOT),100ml,2,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_카모마일 아이스(ICED) (L),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_카모마일 아이스(ICED) (M),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_카모마일 핫(HOT) (L),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_카모마일 핫(HOT) (M),100ml,0,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_캐모마일,100ml,2,,0.21,,,,0,,,,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
허브차_크림슨 펀치 핫(HOT),100ml,3,,0,,,0.5,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
