식품명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),,,,,,,,,,,,,,,,,,,,,,,
피자_뉴욕 오리진 피자 더블치즈 엣지 (L),100g,245,,12.94,11.94,,21.38,2.41,,,,,,499,,,,,,,,,24.54,5.67,0.26,,,,,,,,,,,,,,,,,,,,,,,
피자_뉴욕 오리진 피자 더블치즈 엣지 (M),100g,264,,13.84,11.66,,25.84,2.55,,,,,,496,,,,,,,,,25.5,5.72,0.25,,,,,,,,,,,,,,,,,,,,,,,
피자_뉴욕 오리진 피자 슈퍼시드 화이버 버스트 오리지널 (L),100g,299,,14.13,14.18,,21.35,1.66,,,,,,460,,,,,,,,,23.26,7.68,0.29,,,,,,,,,,,,,,,,,,,,,,,
피자_뉴욕 오리진 피자 슈퍼시드 화이버 엣지 오리지널 (L),100g,296,,14.22,11.34,,20.49,1.1,,,,,,462,,,,,,,,,16.44,7.67,0.23,,,,,,,,,,,,,,,,,,,,,,,
피자_고구마 피자 (L),100g,222,,4.16,,,,4.73,,,,,,349,,,,,,,,,,4.48,,,,,,,,,,,,,,,,,,,,,,,,
피자_고구마 피자 씬바샤삭 (L),100g,278,,11.98,,,,7.29,,,,,,384,,,,,,,,,,5.73,,,,,,,,,,,,,,,,,,,,,,,,
피자_고구마 피자 씬바샤삭 (R),100g,272,,11.03,,,,7.35,,,,,,372,,,,,,,,,,6.62,,,,,,,,,,,,,,,,,,,,,,,,
피자_고구맛 피자,100g,236,,7.7,6.3,,,8.5,,,,,,235,,,,,,,,,13.07,1.9,0.05,,,,,,,,,,,,,,,,,,,,,,,
피자_고기FLEX 피자,100g,276,,15.5,12.4,,,6.9,,,,,,522,,,,,,,,,25.4,3.8,0.14,,,,,,,,,,,,,,,,,,,,,,,
피자_고기농장 피자 (L),100g,171,,8.09,,,,0.85,,,,,,324,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,
피자_고기천국 피자 (L),100g,271,,14.95,,,,4.67,,,,,,421,,,,,,,,,,5.61,,,,,,,,,,,,,,,,,,,,,,,,
피자_고기천국 피자 (M),100g,270,,14.71,,,,4.9,,,,,,412,,,,,,,,,,5.88,,,,,,,,,,,,,,,,,,,,,,,,
피자_고르곤졸라 피자 씬 (L),100g,339,,15.78,,,,4.51,,,,,,371,,,,,,,,,,12.36,,,,,,,,,,,,,,,,,,,,,,,,
피자_고르곤졸라 피자 씬 (R),100g,342,,16.11,,,,4.23,,,,,,367,,,,,,,,,,12.57,,,,,,,,,,,,,,,,,,,,,,,,
피자_고르곤졸라 피자,100g,297,,16.67,,,34.44,3.33,,,,,,526,,,,,,,,,36.67,6.67,0,,,,,,,,,,,,,,,,,,,,,,,
피자_고르곤졸라 피자,100g,278,,15.71,,,,0.43,,,,,,376,,,,,,,,,,4.65,,,,,,,,,,,,,,,,,,,,,,,,
피자_고르곤졸라 피자 씬바샤삭 (L),100g,366,,20.51,,,,1.71,,,,,,443,,,,,,,,,,8.55,,,,,,,,,,,,,,,,,,,,,,,,
피자_고르곤졸라 피자 씬바샤삭 (R),100g,373,,18.4,,,,3.2,,,,,,462,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,
피자_고르목졸라 피자 (L),100g,319,,18.07,,,,3.61,,,,,,253,,,,,,,,,,6.02,,,,,,,,,,,,,,,,,,,,,,,,
피자_고르목졸라 피자 (M),100g,315,,17.28,,,,3.7,,,,,,259,,,,,,,,,,6.17,,,,,,,,,,,,,,,,,,,,,,,,
피자_고추불고기 피자,100g,221,,14.18,,,24.63,5.97,,,,,,549,,,,,,,,,32.09,3.73,0,,,,,,,,,,,,,,,,,,,,,,,
피자_고추장 불고기 피자,100g,270,,14.2,10.8,,,5.7,,,,,,402,,,,,,,,,31.5,4.8,0.17,,,,,,,,,,,,,,,,,,,,,,,
피자_고추장불고기 피자,100g,270,,14.16,,,,7.96,,,,,,593,,,,,,,,,,3.89,,,,,,,,,,,,,,,,,,,,,,,,
피자_12첩콤비네이션 피자 (L),100g,236,,10.83,,,,4.65,,,,,,431,,,,,,,,,,5.16,,,,,,,,,,,,,,,,,,,,,,,,
피자_12첩콤비네이션 피자 (R),100g,239,,11.29,,,,4.64,,,,,,447,,,,,,,,,,5.66,,,,,,,,,,,,,,,,,,,,,,,,
피자_7번가스페셜 피자 씬바샤삭 (L),100g,278,,10.53,,,,5.26,,,,,,461,,,,,,,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,,
피자_7번가스페셜 피자 씬바샤삭 (R),100g,264,,11.24,,,,4.73,,,,,,498,,,,,,,,,,5.92,,,,,,,,,,,,,,,,,,,,,,,,
피자_88페퍼로니 피자 (XL),100g,261,,15.54,,,,3.38,,,,,,589,,,,,,,,,,5.55,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ 불고기 피자 씬 (L),100g,308,,15.71,,,,3.68,,,,,,544,,,,,,,,,,8.57,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ 불고기 피자 오리지널 (L),100g,271,,13.63,,,,3.14,,,,,,598,,,,,,,,,,4.61,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ 불고기 피자 오리지널 (M),100g,274,,13.8,,,,3.23,,,,,,598,,,,,,,,,,4.94,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ 불고기 피자 오리지널 파마산 치즈 (L),100g,275,,14.19,,,,3.05,,,,,,612,,,,,,,,,,5.05,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ 불고기 피자 오리지널 파마산 치즈 (M),100g,279,,14.36,,,,3.13,,,,,,613,,,,,,,,,,5.46,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ 불고기 피자 팬 (L),100g,300,,12.5,,,,3.06,,,,,,519,,,,,,,,,,5.09,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ불고기+페페로니 피자 씬 (L),100g,328,,16.3,,,,3.46,,,,,,626,,,,,,,,,,9.53,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ불고기+페페로니 피자 오리지널 파마산엣지 (L),100g,283,,14.19,,,,2.91,,,,,,656,,,,,,,,,,5.37,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ불고기+페페로니 피자 팬 (L),100g,310,,12.75,,,,2.94,,,,,,564,,,,,,,,,,5.59,,,,,,,,,,,,,,,,,,,,,,,,
피자_LA BBQ불고기+페페로니 피자 오리지날 (L),100g,263,,13.35,,,,2.88,,,,,,596,,,,,,,,,,4.58,,,,,,,,,,,,,,,,,,,,,,,,
피자_가든 스페셜 피자 골드링 (F),100g,227,,9.42,,,,4.71,,,,,,447,,,,,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,,
피자_가든 스페셜 피자 골드링 (L),100g,227,,9.68,,,,4.4,,,,,,447,,,,,,,,,,3.52,,,,,,,,,,,,,,,,,,,,,,,,
피자_가든 스페셜 피자 골드링 (P),100g,227,,9.26,,,,4.9,,,,,,447,,,,,,,,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,
피자_허니갈릭텐더 피자 (L),100g,249,,10.95,,,,5.38,,,,,,401,,,,,,,,,,3.45,,,,,,,,,,,,,,,,,,,,,,,,
피자_허니갈릭텐더 피자 (M),100g,262,,11.43,,,,5.17,,,,,,385,,,,,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,,,,
피자_허니비프 피자,100g,284,,13.35,,,,4.3,,,,,,502,,,,,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,
피자_허니크런치스테이크 피자,100g,251,,13,,,,5.44,,,,,,343,,,,,,,,,,4.37,,,,,,,,,,,,,,,,,,,,,,,,
피자_허브포테이토 피자 씬 (L),100g,242,,10.68,,,,4.85,,,,,,419,,,,,,,,,,5.34,,,,,,,,,,,,,,,,,,,,,,,,
피자_허브포테이토 피자 씬 (R),100g,241,,10.26,,,,5.13,,,,,,415,,,,,,,,,,5.13,,,,,,,,,,,,,,,,,,,,,,,,
피자_헤븐스페셜 피자 (L),100g,273,,13.49,,,,3.17,,,,,,370,,,,,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 골드스윗 (L),100g,260,,13.85,,,,3.85,,,,,,421,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 골드스윗 (R),100g,258,,13.86,,,,3.96,,,,,,420,,,,,,,,,,4.95,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 리코타링 (L),100g,259,,14.29,,,,3.36,,,,,,460,,,,,,,,,,5.04,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 리코타링 (R),100g,260,,13.98,,,,3.76,,,,,,462,,,,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 석쇠 (L),100g,253,,14.15,,,,2.83,,,,,,436,,,,,,,,,,3.77,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 석쇠 (R),100g,253,,13.86,,,,3.01,,,,,,436,,,,,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 씬도우 (L),100g,268,,11.86,,,,6.19,,,,,,464,,,,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 씬도우 (R),100g,261,,12.42,,,,5.23,,,,,,463,,,,,,,,,,5.23,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 치즈링 (L),100g,251,,14.88,,,,2.48,,,,,,487,,,,,,,,,,4.13,,,,,,,,,,,,,,,,,,,,,,,,
피자_홍대 피자 치즈링 (R),100g,251,,14.66,,,,2.62,,,,,,490,,,,,,,,,,4.71,,,,,,,,,,,,,,,,,,,,,,,,
피자_화이트고구마무스 피자 (L),100g,236,,8.88,,,,6.13,,,,,,315,,,,,,,,,,4.35,,,,,,,,,,,,,,,,,,,,,,,,
피자_황제천왕 피자 (L),100g,253,,11.88,,,,4.38,,,,,,345,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 백미스크린 (L),100g,227,,13.56,,,,5.93,,,,,,472,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 백미스크린 (R),100g,221,,13.1,,,,5.95,,,,,,469,,,,,,,,,,2.86,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 백미스크린치즈크러스트 (L),100g,221,,13.08,,,,5.38,,,,,,475,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 백미스크린치즈크러스트 (R),100g,213,,12.5,,,,5.21,,,,,,470,,,,,,,,,,2.81,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 씬 (L),100g,231,,13.98,,,,3.23,,,,,,414,,,,,,,,,,4.84,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 씬 (R),100g,230,,12.86,,,,2.86,,,,,,409,,,,,,,,,,4.57,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 체다크림크러스트 (L),100g,228,,12.95,,,,5.04,,,,,,460,,,,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 체다크림크러스트 (R),100g,228,,12.15,,,,4.67,,,,,,457,,,,,,,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 치즈크러스트 (L),100g,224,,13.04,,,,2.9,,,,,,428,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 치즈크러스트 (R),100g,222,,12.96,,,,2.78,,,,,,426,,,,,,,,,,2.69,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 팬 (L),100g,230,,13.49,,,,3.17,,,,,,421,,,,,,,,,,3.02,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 팬 (R),100g,229,,12.37,,,,3.2,,,,,,414,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 흑미스크린 (L),100g,220,,13.45,,,,4.2,,,,,,421,,,,,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 흑미스크린 (R),100g,214,,12.94,,,,4.71,,,,,,419,,,,,,,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 흑미스크린치즈크러스트 (L),100g,216,,13.08,,,,4.62,,,,,,432,,,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫멕시칸 피자 흑미스크린치즈크러스트 (R),100g,208,,12.5,,,,4.17,,,,,,431,,,,,,,,,,2.81,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫바베큐 피자,100g,268,,14.29,,,,5.97,,,,,,487,,,,,,,,,,3.43,,,,,,,,,,,,,,,,,,,,,,,,
피자_핫불고기 피자 (L),100g,242,,14.43,,,,8.92,,,,,,404,,,,,,,,,,3.32,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 밀스크린 (R),100g,276,,16.46,,,,5.06,,,,,,533,,,,,,,,,,4.81,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 밀스크린고구마크러스트 (L),100g,270,,14.75,,,,5.74,,,,,,491,,,,,,,,,,4.18,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 밀스크린고구마크러스트 (R),100g,265,,14.61,,,,5.62,,,,,,483,,,,,,,,,,4.27,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 밀스크린체다크림크러스트 (L),100g,271,,15.45,,,,6.5,,,,,,566,,,,,,,,,,4.39,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 밀스크린체다크림크러스트 (R),100g,269,,15.73,,,,6.74,,,,,,571,,,,,,,,,,4.49,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 밀스크린치즈크러스트 (L),100g,266,,16.39,,,,4.1,,,,,,530,,,,,,,,,,4.34,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 밀스크린치즈크러스트 (R),100g,259,,16.48,,,,4.4,,,,,,525,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 백미스크린 (L),100g,271,,16.82,,,,7.48,,,,,,520,,,,,,,,,,4.58,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 백미스크린 (R),100g,269,,16.88,,,,7.79,,,,,,519,,,,,,,,,,4.81,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 백미스크린치즈크러스트 (L),100g,259,,15.97,,,,6.72,,,,,,518,,,,,,,,,,4.37,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 백미스크린치즈크러스트 (R),100g,256,,17.05,,,,6.82,,,,,,520,,,,,,,,,,4.43,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 씬 (L),100g,288,,18.29,,,,4.88,,,,,,468,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 씬 (R),100g,289,,17.46,,,,4.76,,,,,,463,,,,,,,,,,7.14,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 체다크림크러스트 (L),100g,265,,15.63,,,,6.25,,,,,,498,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 체다크림크러스트 (R),100g,267,,15.15,,,,6.06,,,,,,501,,,,,,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 치즈크러스트 (L),100g,261,,16.54,,,,3.94,,,,,,464,,,,,,,,,,4.33,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 치즈크러스트 (R),100g,261,,16,,,,4,,,,,,466,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 팬 (L),100g,271,,16.52,,,,4.35,,,,,,460,,,,,,,,,,4.61,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 라이스바이트 (F),100g,273,,15.85,,,,2.93,,,,,,201,,,,,,,,,,4.28,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 라이스바이트 (L),100g,269,,16.11,,,,3.36,,,,,,116,,,,,,,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 라이스바이트 (R),100g,275,,15.46,,,,3.33,,,,,,99,,,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 석쇠 (F),100g,273,,17.13,,,,3.41,,,,,,150,,,,,,,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 석쇠 (L),100g,259,,16.93,,,,3.41,,,,,,168,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 석쇠 (R),100g,260,,16.93,,,,3.37,,,,,,165,,,,,,,,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 치즈크러스트 (F),100g,272,,17.6,,,,3.02,,,,,,158,,,,,,,,,,4.07,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 치즈크러스트 (L),100g,267,,17.54,,,,3.04,,,,,,164,,,,,,,,,,4.19,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 치즈크러스트 (R),100g,274,,17.76,,,,2.9,,,,,,157,,,,,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 팬 (F),100g,280,,17.29,,,,3.42,,,,,,142,,,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,
피자_한우핫불고기 피자 팬 (L),100g,266,,17.12,,,,3.43,,,,,,161,,,,,,,,,,3.41,,,,,,,,,,,,,,,,,,,,,,,,
피자_할라불고기 피자 (L),100g,243,,12.64,,,,4.52,,,,,,430,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,
피자_할라피노 피자 (L),100g,289,,6.47,,,,3.24,,,,,,379,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,
피자_할라피뇨프라이 피자 (L),100g,268,,14,,,,3,,,,,,429,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
피자_할라피뇨 피자 오리지널 (M),100g,295,,19.28,15.39,,31.07,4.82,,,,,,469,,,,,,,,,38.53,3.61,0.07,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 고구마크러스트 (L),100g,264,,14.96,,,,5.51,,,,,,426,,,,,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 고구마크러스트 (R),100g,264,,14.14,,,,6.06,,,,,,423,,,,,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,
피자_할루미 피자 밀스크린 (L),100g,276,,16.22,,,,4.5,,,,,,529,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 치즈크러스트 (L),100g,295,,17.18,,,,4.08,,,,,,166,,,,,,,,,,3.45,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 치즈크러스트 (L),100g,211,,11.59,,,,4.35,,,,,,359,,,,,,,,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 치즈크러스트 (R),100g,294,,16.38,,,,3.85,,,,,,139,,,,,,,,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 치즈크러스트 (R),100g,208,,11.11,,,,4.63,,,,,,355,,,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 팬 (F),100g,295,,16.49,,,,4.68,,,,,,162,,,,,,,,,,2.46,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 팬 (L),100g,292,,16.42,,,,4.74,,,,,,170,,,,,,,,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 팬 (L),100g,216,,11.11,,,,4.76,,,,,,344,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 팬 (R),100g,292,,15.16,,,,4.68,,,,,,134,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 팬 (R),100g,213,,10.31,,,,5.15,,,,,,336,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 흑미스크린 (L),100g,205,,10.92,,,,5.88,,,,,,341,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 흑미스크린 (R),100g,198,,9.41,,,,5.88,,,,,,329,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 흑미스크린치즈크러스트 (L),100g,202,,10.77,,,,6.15,,,,,,358,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 흑미스크린치즈크러스트 (R),100g,194,,10.42,,,,6.25,,,,,,351,,,,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자,100g,264,,13.5,,,,0.61,,,,,,202,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,,,,,,,,
피자_하프앤하프 피자 골드 (L),100g,231,,10.2,,,,3.93,,,,,,392,,,,,,,,,,4.64,,,,,,,,,,,,,,,,,,,,,,,,
피자_하프앤하프 피자 골드 (R),100g,231,,10.99,,,,5.49,,,,,,386,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,
피자_하프앤하프 피자 에그타르트 (L),100g,237,,9.28,,,,5.72,,,,,,346,,,,,,,,,,4.79,,,,,,,,,,,,,,,,,,,,,,,,
피자_하프앤하프 피자 에그타르트 (R),100g,239,,10.44,,,,7.14,,,,,,338,,,,,,,,,,4.95,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이안 피자 (P),100g,234,,9.68,,,,6.45,,,,,,477,,,,,,,,,,3.23,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이안 피자 (R),100g,233,,9.7,,,,5.97,,,,,,475,,,,,,,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이안 피자 (R),100g,246,,9.86,,,,5.63,,,,,,366,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이안 피자 (XL),100g,243,,9.84,,,,1.55,,,,,,318,,,,,,,,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이안 피자 오리지널 (M),100g,268,,14.29,12.86,,29.48,7.69,,,,,,371,,,,,,,,,21.47,2.2,0.12,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이안 피자,100g,258,,10.95,,,,7.76,,,,,,432,,,,,,,,,,4.02,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언쉬림프 피자 (L),100g,219,,10.98,,,,4.67,,,,,,416,,,,,,,,,,3.05,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언쉬림프 피자 (M),100g,204,,11.22,,,,4.83,,,,,,394,,,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 (L),100g,235,,11.43,,,,5.77,,,,,,352,,,,,,,,,,4.19,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 (L),100g,236,,11.29,,,,7.82,,,,,,408,,,,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 (L),100g,232,,12.62,4.67,,24.67,10.31,,,,,,281,,,,,,,,,14.45,3.71,0.13,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 (M),100g,223,,11.5,,,,7.06,,,,,,419,,,,,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 (XL),100g,212,,9.38,,,,3.88,,,,,,284,,,,,,,,,,4.57,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 고구마크러스트 (L),100g,214,,10.14,,,,5.8,,,,,,323,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 고구마크러스트 (R),100g,213,,9.43,,,,5.66,,,,,,317,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 라이스골드 (F),100g,277,,16.47,,,,4.65,,,,,,164,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 라이스바이트 (F),100g,283,,15.21,,,,3.87,,,,,,151,,,,,,,,,,3.85,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 밀스크린 (L),100g,218,,10.66,,,,4.92,,,,,,403,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,
피자_하와이언 피자 밀스크린 (R),100g,209,,10.34,,,,4.6,,,,,,387,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,
피자_포테이토 피자,100g,299,,13.33,14.55,,20.61,0.61,,,,,,282,,,,,,,,,0,4.24,0.12,,,,,,,,,,,,,,,,,,,,,,,
피자_포테이토 피자,100g,242,,11.54,8.24,,31.32,3.3,,,,,,308,,,,,,,,,7.69,4.95,0,,,,,,,,,,,,,,,,,,,,,,,
피자_폴드포크 피자 (L),100g,257,,12.71,,,,5.2,,,,,,440,,,,,,,,,,4.13,,,,,,,,,,,,,,,,,,,,,,,,
피자_퐁듀골드포테이토 피자 (L),100g,300,,12.45,,,,2.72,,,,,,271,,,,,,,,,,3.49,,,,,,,,,,,,,,,,,,,,,,,,
피자_퐁듀눈꽃치즈 피자 (L),100g,248,,8.75,,,,6.88,,,,,,233,,,,,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,
피자_퐁듀불금 피자 (L),100g,263,,13.95,,,,5.43,,,,,,357,,,,,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,
피자_푸팟퐁커리 피자 (L),100g,280,,9.4,,,,3.62,,,,,,547,,,,,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,
피자_푸팟퐁커리 피자 마니아 에어도우 (L),100g,259,,9.91,,,,4.32,,,,,,546,,,,,,,,,,3.42,,,,,,,,,,,,,,,,,,,,,,,,
피자_푸팟퐁커리 피자 마니아 파마산엣지 (L),100g,261,,10.44,,,,4.21,,,,,,561,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,
피자_푸팟퐁커리 피자,100g,296,,12.46,,,,5.44,,,,,,551,,,,,,,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,,
피자_풀드포크바베큐 피자 (F),100g,262,,12.32,,,,5.07,,,,,,609,,,,,,,,,,4.35,,,,,,,,,,,,,,,,,,,,,,,,
피자_풀드포크바베큐 피자 (L),100g,260,,12.62,,,,4.85,,,,,,607,,,,,,,,,,4.85,,,,,,,,,,,,,,,,,,,,,,,,
피자_풀드포크바베큐 피자 (P),100g,262,,12.14,,,,5,,,,,,611,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,,,,,,,,
피자_풀드포크 피자 (L),100g,214,,11.61,,,,4.62,,,,,,403,,,,,,,,,,3.46,,,,,,,,,,,,,,,,,,,,,,,,
피자_풀드포크 피자 (M),100g,205,,11.33,,,,5.28,,,,,,382,,,,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,,,,,
피자_프랑크필레 피자 (L),100g,259,,11.26,,,,3.31,,,,,,368,,,,,,,,,,3.97,,,,,,,,,,,,,,,,,,,,,,,,
